date,away_team,home_team,espn_game_id,kickoff,quote_time,traded_team,espn_probability,kalshi_yes_ask,edge,bet_size,winning_team,won,pnl,side,ticker
2025-09-04,DAL,PHI,401772510,2025-09-05T00:20Z,2025-09-05T00:20:00+00:00,DAL,0.36650000000000005,0.22,0.14650000000000005,20,PHI,False,-20,AWAY,KXNFLGAME-25SEP04DALPHI-DAL
2025-09-07,BAL,BUF,401772918,2025-09-08T00:20Z,2025-09-08T00:20:00+00:00,BUF,0.5581,0.49,0.06810000000000005,14,BUF,True,14.571428571428573,HOME,KXNFLGAME-25SEP07BALBUF-BUF
2025-09-07,CAR,JAC,401772828,2025-09-07T17:00Z,2025-09-07T17:00:00+00:00,,0.368,0.33,0.03799999999999998,0.0,JAC,,0.0,AWAY,KXNFLGAME-25SEP07CARJAC-CAR
2025-09-07,CIN,CLE,401772829,2025-09-07T17:00Z,2025-09-07T17:00:00+00:00,,0.3343,0.33,0.0042999999999999705,0.0,CIN,,0.0,HOME,KXNFLGAME-25SEP07CINCLE-CLE
2025-09-07,MIA,IND,401772719,2025-09-07T17:00Z,2025-09-07T17:00:00+00:00,,0.5507,0.53,0.02069999999999994,0.0,IND,,0.0,HOME,KXNFLGAME-25SEP07MIAIND-IND
2025-09-07,NYG,WAS,401772827,2025-09-07T17:00Z,2025-09-07T17:00:00+00:00,,0.3126,0.29,0.02260000000000001,0.0,WAS,,0.0,AWAY,KXNFLGAME-25SEP07NYGWAS-NYG
2025-09-07,PIT,NYJ,401772721,2025-09-07T17:00Z,2025-09-07T17:00:00+00:00,,0.446,0.4,0.045999999999999985,0.0,PIT,,0.0,HOME,KXNFLGAME-25SEP07PITNYJ-NYJ
2025-09-07,TEN,DEN,401772832,2025-09-07T20:05Z,2025-09-07T20:05:00+00:00,TEN,0.3499,0.2,0.14989999999999998,20,DEN,False,-20,AWAY,KXNFLGAME-25SEP07TENDEN-TEN
2025-09-08,MIN,CHI,401772810,2025-09-09T00:15Z,2025-09-09T00:15:00+00:00,,0.5023,0.51,-0.00770000000000004,0.0,MIN,,0.0,HOME,KXNFLGAME-25SEP08MINCHI-CHI
2025-09-14,ATL,MIN,401772919,2025-09-15T00:20Z,2025-09-15T00:20:00+00:00,,0.6114,0.62,-0.008599999999999941,0.0,ATL,,0.0,HOME,KXNFLGAME-25SEP14ATLMIN-MIN
2025-09-14,BUF,NYJ,401772727,2025-09-14T17:00Z,2025-09-14T17:00:00+00:00,NYJ,0.383,0.3,0.08300000000000002,17,BUF,False,-17,HOME,KXNFLGAME-25SEP14BUFNYJ-NYJ
2025-09-14,CAR,ARI,401772730,2025-09-14T20:05Z,2025-09-14T20:05:00+00:00,CAR,0.3609,0.25,0.1109,20,ARI,False,-20,AWAY,KXNFLGAME-25SEP14CARARI-CAR
2025-09-14,CHI,DET,401772835,2025-09-14T17:00Z,2025-09-14T17:00:00+00:00,CHI,0.3456,0.29,0.05560000000000004,11,DET,False,-11,AWAY,KXNFLGAME-25SEP14CHIDET-CHI
